strategy_name,trial,fold,objective,selection_metric,test_touched_during_search,validation_sharpe,validation_f1,validation_auc,validation_brier,validation_profit_factor,validation_trade_count,runtime_seconds,batch_size,max_epochs,patience,num_classes,device,dry_run_training,n_filters,kernel_size,n_layers,dropout,learning_rate,seq_len
connors,6,fold_5,meta_label,validation_auc,False,-0.5749805320140592,0.5186424152770307,0.5256082806828875,0.2511843277077595,0.7230821787390304,11,1.266415699999925,128,8,3,2,cpu,False,64,3,2,0.5,0.001,20
connors,3,fold_5,meta_label,validation_auc,False,-1.098543596295449,0.5182293686287689,0.5247178022575819,0.2529386798671256,0.4254015439916103,5,7.99522910000087,128,8,3,2,cpu,False,64,5,3,0.5,0.0001,60
connors,10,fold_5,meta_label,validation_auc,False,-1.2044439678425796,0.5216666666666666,0.5205358357133143,0.25521800625713503,0.5659020658543312,11,4.480554300000222,128,8,3,2,cpu,False,64,3,3,0.3,0.0003,60
connors,4,fold_5,meta_label,validation_auc,False,-0.14720309740552168,0.53869594824651,0.5186658506731946,0.25288009409926154,0.9142183185026086,8,9.592348199999833,128,8,3,2,cpu,False,128,7,2,0.2,0.0001,60
connors,1,fold_5,meta_label,validation_auc,False,-0.044989981269608216,0.5103057970642798,0.5145858833129335,0.2553047113358898,0.9681620254800739,16,16.708761800000502,128,8,3,2,cpu,False,128,5,3,0.5,0.001,60
connors,5,fold_5,meta_label,validation_auc,False,-1.6979100656828048,0.49959522363893943,0.5046713267912354,0.2510099268840169,0.0,2,2.0801033999996434,128,8,3,2,cpu,False,32,3,3,0.2,0.0001,20
connors,2,fold_5,meta_label,validation_auc,False,1.272667571614427,0.4861102929419586,0.5026213200699019,0.25922025589700365,1.5304002270791899,30,3.5173193999999057,128,8,3,2,cpu,False,64,7,3,0.5,0.0003,20
connors,8,fold_5,meta_label,validation_auc,False,-0.8885887515770989,0.521764265796096,0.5011219910240718,0.25552922419658414,0.6241927899686486,9,3.641024299999117,128,8,3,2,cpu,False,64,7,2,0.5,0.0003,60
connors,7,fold_5,meta_label,validation_auc,False,-1.4187509513881598,0.4923924783766085,0.4993950799838688,0.25528679130343,0.6593799966056526,33,15.22834150000017,128,8,3,2,cpu,False,64,7,4,0.5,0.001,30
connors,9,fold_5,meta_label,validation_auc,False,0.9099783067392936,0.49650331952657734,0.493513913160371,0.2566665166055561,1.4374705671821557,16,1.241341900000407,128,8,3,2,cpu,False,32,3,3,0.2,0.0003,20
