strategy_name,trial,fold,objective,selection_metric,test_touched_during_search,validation_sharpe,validation_f1,validation_auc,validation_brier,validation_profit_factor,validation_trade_count,runtime_seconds,batch_size,max_epochs,patience,num_classes,device,dry_run_training,n_filters,kernel_size,n_layers,dropout,learning_rate,seq_len
ifvg,6,fold_5,meta_label,validation_auc,False,1.0411547746688352,0.5519995085693225,0.5653814602132896,0.2506795812880411,1.4756368375474715,18,8.115225600000485,128,8,3,2,cpu,False,64,3,4,0.3,0.0001,30
ifvg,3,fold_5,meta_label,validation_auc,False,1.9668864844754317,0.524731182795699,0.5484823625922888,0.2761587455806367,1.6526968172717014,41,2.7618850999988354,128,8,3,2,cpu,False,32,3,4,0.3,0.001,30
ifvg,4,fold_5,meta_label,validation_auc,False,1.475870753213649,0.5061401890235152,0.5085315832649713,0.2939863360202123,1.4792849787309712,37,10.274377099998674,128,8,3,2,cpu,False,64,7,4,0.3,0.0003,30
ifvg,1,fold_5,meta_label,validation_auc,False,2.1209185136847637,0.5044533074332004,0.4987991718426501,0.25118497766942943,20.67803837953115,4,4.017740299999787,128,8,3,2,cpu,False,32,3,4,0.2,0.0001,60
ifvg,2,fold_5,meta_label,validation_auc,False,1.7444577104110905,0.48662760818172474,0.4929450369155045,0.3275274269715275,1.5059302383137025,47,16.32670070000131,128,8,3,2,cpu,False,128,3,4,0.5,0.001,20
ifvg,10,fold_5,meta_label,validation_auc,False,0.921728099109821,0.5109911698409744,0.4925348646431501,0.300826211841775,1.2942977514329006,35,31.484069900001487,128,8,3,2,cpu,False,128,5,4,0.2,0.001,30
ifvg,8,fold_5,meta_label,validation_auc,False,2.2182531855180923,0.4636363636363637,0.4908488612836439,0.2591307956765576,2.944710079493122,12,2.9789992999994865,128,8,3,2,cpu,False,32,3,4,0.3,0.0003,60
ifvg,7,fold_5,meta_label,validation_auc,False,1.0798380773826626,0.46729029988203397,0.4891925465838509,0.2614006803323857,1.5774757852810632,15,2.516073500000857,128,8,3,2,cpu,False,128,3,2,0.5,0.001,60
ifvg,5,fold_5,meta_label,validation_auc,False,1.2384675180814195,0.48550259732196444,0.4702277432712215,0.2758357693037889,1.5279409014400476,21,6.912944799998513,128,8,3,2,cpu,False,64,3,4,0.5,0.001,60
ifvg,9,fold_5,meta_label,validation_auc,False,1.192225605693724,0.43895005287056044,0.46227743271221533,0.27223748300994227,1.5534802690219314,20,4.646771499999886,128,8,3,2,cpu,False,32,5,4,0.3,0.001,60
