entry_time,exit_time,direction,pnl,r_multiple,confidence
2026-01-02 14:20:00-05:00,2026-01-02 15:00:00-05:00,1,1.1,0.010460179996603838,0.476889967918396
2026-01-05 12:20:00-05:00,2026-01-05 13:05:00-05:00,-1,133.2714285714348,0.9794225721785236,0.5758768916130066
2026-01-06 12:30:00-05:00,2026-01-06 13:45:00-05:00,1,150.62857142856518,0.9817504655493074,0.43566474318504333
2026-01-08 14:10:00-05:00,2026-01-08 15:00:00-05:00,-1,-105.8,-0.6973634651600753,0.6144856810569763
2026-01-12 14:40:00-05:00,2026-01-12 15:00:00-05:00,1,-17.0,-0.09855072463768116,0.21077606081962585
2026-01-16 13:40:00-05:00,2026-01-16 14:15:00-05:00,1,-186.28928571428258,-1.0230656075316098,0.49760493636131287
2026-01-23 12:40:00-05:00,2026-01-23 12:55:00-05:00,-1,273.0321428571522,0.9848502415459276,0.6708272099494934
2026-01-26 09:45:00-05:00,2026-01-26 09:55:00-05:00,1,174.95,0.9842475386779184,0.48834362626075745
2026-01-27 09:40:00-05:00,2026-01-27 09:50:00-05:00,1,169.37857142856518,0.9837378137315546,0.3825061023235321
2026-01-28 09:30:00-05:00,2026-01-28 09:40:00-05:00,1,139.05714285714492,0.9802618328298232,0.25196051597595215
2026-01-28 13:20:00-05:00,2026-01-28 14:00:00-05:00,1,-189.66428571428258,-1.0226458694396134,0.4231785535812378
2026-01-30 12:05:00-05:00,2026-01-30 12:20:00-05:00,-1,-141.00714285714494,-1.0100281401893216,0.5126141309738159
2026-01-30 13:05:00-05:00,2026-01-30 13:15:00-05:00,-1,136.27857142857246,0.9898313878080489,0.572291374206543
2026-02-02 10:10:00-05:00,2026-02-02 15:00:00-05:00,1,-10.4,-0.05562559694364852,0.4711804986000061
2026-02-04 11:10:00-05:00,2026-02-04 11:40:00-05:00,-1,244.54642857142753,0.9943077034778146,0.4525977075099945
2026-02-04 14:30:00-05:00,2026-02-04 14:45:00-05:00,1,160.54642857142753,0.991355165949933,0.491777628660202
2026-02-05 09:55:00-05:00,2026-02-05 10:10:00-05:00,-1,303.85,0.9954135954135955,0.6257232427597046
2026-02-06 13:00:00-05:00,2026-02-06 14:15:00-05:00,1,-200.8,-1.0141414141414142,0.38509029150009155
2026-02-09 14:35:00-05:00,2026-02-09 15:00:00-05:00,1,-191.59285714284778,-1.0224128073184175,0.19851243495941162
2026-02-11 09:40:00-05:00,2026-02-11 09:55:00-05:00,1,-122.3642857142826,-1.0115736640094222,0.2586512863636017
2026-02-11 12:40:00-05:00,2026-02-11 13:00:00-05:00,1,-122.3642857142826,-1.0115736640094222,0.48634761571884155
2026-02-12 09:40:00-05:00,2026-02-12 09:45:00-05:00,-1,210.5214285714348,0.9868742675372801,0.6989936828613281
2026-02-12 09:55:00-05:00,2026-02-12 10:35:00-05:00,-1,270.5214285714348,0.9897556513785672,0.7229315638542175
2026-02-13 12:10:00-05:00,2026-02-13 14:55:00-05:00,1,-157.45357142857247,-1.0089712781782878,0.44582802057266235
2026-02-18 10:00:00-05:00,2026-02-18 11:05:00-05:00,1,171.6357142857174,0.9919091847265402,0.4951595962047577
2026-02-19 12:50:00-05:00,2026-02-19 15:00:00-05:00,-1,-38.9,-0.3074230877787186,0.618371844291687
2026-02-23 09:35:00-05:00,2026-02-23 09:40:00-05:00,-1,101.18928571428259,0.9863533507397433,0.553506076335907
2026-02-24 14:20:00-05:00,2026-02-24 14:40:00-05:00,-1,-166.6821428571522,-1.0258489943950462,0.5916761159896851
2026-02-25 09:30:00-05:00,2026-02-25 09:40:00-05:00,1,194.34285714285505,0.9857971014492649,0.4607516825199127
2026-02-25 12:45:00-05:00,2026-02-25 14:00:00-05:00,1,176.11428571428988,0.9691823899371298,0.4812750220298767
2026-02-26 13:35:00-05:00,2026-02-26 14:05:00-05:00,1,108.36785714285506,0.9872458109646792,0.29844367504119873
2026-03-05 12:40:00-05:00,2026-03-05 15:00:00-05:00,-1,-91.9,-0.5176423254878295,0.5131555199623108
2026-03-09 09:30:00-04:00,2026-03-09 09:40:00-04:00,-1,192.74285714285506,0.992788815305361,0.7365872859954834
2026-03-11 11:35:00-04:00,2026-03-11 13:00:00-04:00,-1,-169.66785714285507,-1.0083200679189095,0.5406860709190369
2026-03-11 14:10:00-04:00,2026-03-11 14:50:00-04:00,-1,-117.97142857142754,-1.01200980392156,0.5864138007164001
2026-03-12 09:40:00-04:00,2026-03-12 09:45:00-04:00,-1,136.0107142857174,0.9898115659519395,0.6075300574302673
2026-03-13 14:45:00-04:00,2026-03-13 15:00:00-04:00,1,-169.8,-0.8898371701291411,0.4411080479621887
2026-03-17 09:30:00-04:00,2026-03-17 11:30:00-04:00,1,-130.9892857142826,-1.0108033622708867,0.38892072439193726
2026-03-18 09:30:00-04:00,2026-03-18 09:40:00-04:00,-1,-158.90714285714495,-1.0179363989933787,0.5343737602233887
