entry_time,exit_time,direction,pnl,r_multiple,confidence
2025-01-02 14:45:00-05:00,2025-01-02 15:00:00-05:00,1,18.1,0.13509262961482074,0.05823228508234024
2025-01-06 12:15:00-05:00,2025-01-06 12:40:00-05:00,-1,328.89285714286234,0.9791600212652998,0.7643502354621887
2025-01-10 09:30:00-05:00,2025-01-10 09:35:00-05:00,-1,174.2607142857174,0.992030090474756,0.6491101980209351
2025-01-14 13:20:00-05:00,2025-01-14 13:40:00-05:00,1,189.95,0.985473411154345,0.351039856672287
2025-01-17 11:50:00-05:00,2025-01-17 12:25:00-05:00,-1,-165.33571428571014,-1.0172269830806162,0.6447012424468994
2025-01-17 13:10:00-05:00,2025-01-17 13:40:00-05:00,1,-160.25357142856518,-1.0269138345348037,0.33254072070121765
2025-01-20 09:30:00-05:00,2025-01-20 09:40:00-05:00,1,166.7,0.983480825958702,0.15567605197429657
2025-01-21 10:10:00-05:00,2025-01-21 10:20:00-05:00,-1,-159.75714285714494,-1.0088407758231976,0.6216896176338196
2025-01-23 09:30:00-05:00,2025-01-23 10:35:00-05:00,-1,-218.75357142856518,-1.0195755305867376,0.6752614378929138
2025-01-28 09:50:00-05:00,2025-01-28 10:00:00-05:00,1,174.20714285714493,0.9920276591417649,0.4981289207935333
2025-01-28 12:10:00-05:00,2025-01-28 14:35:00-05:00,1,105.58214285714493,0.9869137038891864,0.3408401906490326
2025-01-29 14:50:00-05:00,2025-01-29 15:00:00-05:00,1,-125.9,-0.7605609492988135,0.430738240480423
2025-01-31 13:25:00-05:00,2025-01-31 13:30:00-05:00,-1,156.5214285714348,0.9824254651423839,0.6009142398834229
2025-02-03 10:00:00-05:00,2025-02-03 10:20:00-05:00,-1,-264.9714285714275,-1.0053116531165271,0.504589855670929
2025-02-04 10:05:00-05:00,2025-02-04 12:20:00-05:00,1,-123.75714285714494,-1.0114419147694274,0.21028056740760803
2025-02-06 09:40:00-05:00,2025-02-06 09:50:00-05:00,1,163.74642857143482,0.9749920255183786,0.33350521326065063
2025-02-06 13:00:00-05:00,2025-02-06 13:10:00-05:00,1,-170.21785714284778,-1.0252984833816794,0.46218714118003845
2025-02-07 10:00:00-05:00,2025-02-07 10:50:00-05:00,-1,169.86785714285506,0.9918256698988513,0.5497047901153564
2025-02-07 13:15:00-05:00,2025-02-07 13:40:00-05:00,1,-123.54285714285507,-1.0114619883040765,0.07276924699544907
2025-02-13 14:10:00-05:00,2025-02-13 14:50:00-05:00,1,102.20714285714493,0.9864874181316987,0.4211857318878174
2025-02-14 12:25:00-05:00,2025-02-14 12:45:00-05:00,-1,-365.82857142856517,-1.0235011990407499,0.702206552028656
2025-02-18 13:45:00-05:00,2025-02-18 14:05:00-05:00,-1,194.32857142857975,0.9719899964273372,0.548967182636261
2025-02-20 12:20:00-05:00,2025-02-20 13:00:00-05:00,1,-169.51428571428988,-1.0167952013710617,0.1541813760995865
2025-02-20 14:15:00-05:00,2025-02-20 14:30:00-05:00,1,-179.7,-1.0239316239316238,0.2956784665584564
2025-02-21 10:25:00-05:00,2025-02-21 10:40:00-05:00,-1,127.81428571428259,0.9891652846876485,0.6873273253440857
2025-02-24 14:25:00-05:00,2025-02-24 15:00:00-05:00,-1,156.62857142856518,0.9824372759856238,0.587897002696991
2025-02-25 14:10:00-05:00,2025-02-25 14:35:00-05:00,-1,-109.13214285714494,-1.0129951931046106,0.6329600811004639
2025-02-26 09:45:00-05:00,2025-02-26 10:15:00-05:00,1,127.92142857142753,0.9891742612537894,0.48311302065849304
2025-02-26 12:50:00-05:00,2025-02-26 13:00:00-05:00,-1,114.52857142857246,0.9879235982748086,0.5255552530288696
2025-02-27 13:20:00-05:00,2025-02-27 14:00:00-05:00,1,-125.47142857142754,-1.0112838226827783,0.1936514675617218
2025-03-04 14:05:00-05:00,2025-03-04 15:00:00-05:00,1,175.11785714285506,0.9920687910976109,0.44122785329818726
2025-03-05 14:10:00-05:00,2025-03-05 14:35:00-05:00,1,-187.6142857142826,-1.0075182201764312,0.4181826114654541
2025-03-07 09:50:00-05:00,2025-03-07 10:00:00-05:00,1,-219.75714285714494,-1.0064115145567645,0.13461576402187347
2025-03-17 09:30:00-04:00,2025-03-17 09:35:00-04:00,1,-140.95357142857247,-1.0100319897632832,0.44504645466804504
2025-03-18 09:55:00-04:00,2025-03-18 14:55:00-04:00,-1,-145.9,-0.2775648865334964,0.5974881649017334
2025-03-20 12:05:00-04:00,2025-03-20 12:25:00-04:00,-1,120.475,0.9885128205128204,0.4966140687465668
2025-03-24 13:15:00-04:00,2025-03-24 13:30:00-04:00,-1,-376.43571428569555,-1.0228238719067904,0.7093546986579895
2025-03-25 09:30:00-04:00,2025-03-25 09:45:00-04:00,1,-148.3,-1.0192439862542957,0.34341248869895935
2025-03-25 13:45:00-04:00,2025-03-25 14:15:00-04:00,-1,-457.77142857142024,-1.0250799744081707,0.877768337726593
