entry_time,exit_time,direction,pnl,r_multiple,confidence
2024-01-03 09:30:00-05:00,2024-01-03 09:40:00-05:00,1,169.37142857143482,0.9758024691358386,0.03641558066010475
2024-01-03 10:00:00-05:00,2024-01-03 10:10:00-05:00,1,-164.26428571428988,-1.0173412961734387,0.02843524143099785
2024-01-04 09:30:00-05:00,2024-01-04 10:50:00-05:00,1,118.11785714285506,0.9882862692364983,0.31823214888572693
2024-01-05 10:00:00-05:00,2024-01-05 11:10:00-05:00,1,145.05714285714492,0.9810628019323812,0.14435672760009766
2024-01-08 09:30:00-05:00,2024-01-08 09:45:00-05:00,1,152.66428571428986,0.9819894325752621,0.17882172763347626
2024-01-08 10:40:00-05:00,2024-01-08 12:00:00-05:00,1,124.05714285714494,0.9779279279279443,0.3510344624519348
2024-01-10 09:50:00-05:00,2024-01-10 10:10:00-05:00,-1,-190.46785714284778,-1.0225481737129205,0.5857594609260559
2024-01-11 09:40:00-05:00,2024-01-11 09:45:00-05:00,1,-178.09285714284778,-1.0241528034503464,0.4427744746208191
2024-01-11 10:05:00-05:00,2024-01-11 10:15:00-05:00,-1,-185.4785714285652,-1.01532746823066,0.5121870040893555
2024-01-11 10:20:00-05:00,2024-01-11 11:10:00-05:00,-1,108.6357142857174,0.9872768581629623,0.5332186222076416
2024-01-12 09:40:00-05:00,2024-01-12 09:55:00-05:00,1,-149.8,-1.0190476190476192,0.3838469386100769
2024-01-15 09:35:00-05:00,2024-01-15 09:50:00-05:00,1,-180.67142857142025,-1.0319869441043998,0.4957510828971863
2024-01-16 09:30:00-05:00,2024-01-16 09:35:00-05:00,-1,-191.29285714286962,-1.0459285295841336,0.51188063621521
2024-01-16 09:40:00-05:00,2024-01-16 09:50:00-05:00,-1,362.5142857142608,0.9700305810396886,0.720275342464447
2024-01-17 11:00:00-05:00,2024-01-17 13:20:00-05:00,1,-170.37142857143482,-1.0167092924126546,0.3991066813468933
2024-01-18 10:40:00-05:00,2024-01-18 12:05:00-05:00,1,-182.8,-1.0155555555555555,0.3428531289100647
2024-01-19 10:05:00-05:00,2024-01-19 10:40:00-05:00,-1,-195.44285714285508,-1.0145346681497855,0.5569152235984802
2024-01-19 10:55:00-05:00,2024-01-19 11:15:00-05:00,-1,-170.4785714285652,-1.0166986155484186,0.5256043076515198
2024-01-22 09:30:00-05:00,2024-01-22 09:40:00-05:00,-1,177.95,0.9845089903181189,0.636653482913971
2024-01-22 10:25:00-05:00,2024-01-22 15:00:00-05:00,-1,48.6,0.3862068965517242,0.5744590759277344
2024-01-23 09:35:00-05:00,2024-01-23 12:55:00-05:00,1,132.84285714285505,0.979357556608726,0.4926488399505615
2024-01-24 10:15:00-05:00,2024-01-24 10:40:00-05:00,1,104.5107142857174,0.9867813184960671,0.30106690526008606
2024-01-24 11:15:00-05:00,2024-01-24 11:55:00-05:00,1,134.34285714285505,0.9795833333333182,0.43687814474105835
2024-01-25 09:30:00-05:00,2024-01-25 09:55:00-05:00,-1,145.80714285714492,0.981158375390545,0.5296297669410706
2024-01-29 09:30:00-05:00,2024-01-29 09:40:00-05:00,-1,-165.71785714284778,-1.0260033167495273,0.49546411633491516
2024-01-30 10:00:00-05:00,2024-01-30 12:15:00-05:00,-1,165.83571428571742,0.9752993068683234,0.5625243186950684
2024-01-30 12:25:00-05:00,2024-01-30 12:30:00-05:00,-1,256.1357142856956,0.9682462535438743,0.6516989469528198
2024-01-30 13:35:00-05:00,2024-01-30 13:50:00-05:00,-1,162.61428571428988,0.966709129511702,0.5235173106193542
2024-01-31 09:30:00-05:00,2024-01-31 09:40:00-05:00,1,-172.19285714285508,-1.0165296226017166,0.3343251049518585
2024-02-01 09:35:00-05:00,2024-02-01 12:50:00-05:00,1,155.24285714285506,0.9910624715002148,0.2550772428512573
2024-02-02 09:30:00-05:00,2024-02-02 09:35:00-05:00,1,137.55714285714492,0.9800508905852564,0.4425525665283203
2024-02-02 09:40:00-05:00,2024-02-02 09:45:00-05:00,1,155.66428571428986,0.9823304034257643,0.41992026567459106
2024-02-05 09:35:00-05:00,2024-02-05 09:50:00-05:00,-1,127.7,0.978544061302682,0.5347378253936768
2024-02-05 10:15:00-05:00,2024-02-05 10:40:00-05:00,-1,376.47142857142023,0.985343054776572,0.796297550201416
