date,pnl
2025-01-03 00:00:00-05:00,513.0
2025-02-04 00:00:00-05:00,-87.0
2025-02-18 00:00:00-05:00,296.2142857142753
2025-03-04 00:00:00-05:00,1035.2321428571377
2025-03-06 00:00:00-05:00,965.8571428571377
2025-03-13 00:00:00-04:00,734.1607142857247
2025-03-20 00:00:00-04:00,579.875
2025-04-16 00:00:00-04:00,618.178571428587
2025-04-24 00:00:00-04:00,553.625
2025-04-28 00:00:00-04:00,220.5
2025-05-07 00:00:00-04:00,-534.946428571413
2025-06-05 00:00:00-04:00,-655.75
2025-06-10 00:00:00-04:00,-434.23214285713766
