date,pnl
2025-01-03 00:00:00-05:00,394.51785714286234
2025-01-21 00:00:00-05:00,-402.0892857142753
2025-01-31 00:00:00-05:00,-404.76785714286234
2025-02-20 00:00:00-05:00,140.5
2025-02-28 00:00:00-05:00,-397.0
2025-03-03 00:00:00-05:00,746.75
2025-03-05 00:00:00-05:00,-776.553571428587
2025-03-24 00:00:00-04:00,-736.9107142857247
2025-04-01 00:00:00-04:00,153.0
2025-04-15 00:00:00-04:00,388.0892857142753
2025-04-23 00:00:00-04:00,-212.0
2025-05-06 00:00:00-04:00,294.3392857142753
2025-05-16 00:00:00-04:00,118.0
2025-05-21 00:00:00-04:00,-247.26785714286234
2025-06-02 00:00:00-04:00,359.428571428587
2025-06-04 00:00:00-04:00,260.321428571413
2025-06-05 00:00:00-04:00,-463.428571428587
