date,pnl
2026-01-02 00:00:00-05:00,101.1357142857174
2026-01-06 00:00:00-05:00,-186.2285714285652
2026-01-07 00:00:00-05:00,-417.27857142856516
2026-01-08 00:00:00-05:00,175.975
2026-01-12 00:00:00-05:00,153.09285714285505
2026-01-13 00:00:00-05:00,246.67142857142028
2026-01-14 00:00:00-05:00,-119.09642857142754
2026-01-15 00:00:00-05:00,153.58214285714493
2026-01-16 00:00:00-05:00,-318.34999999999275
2026-01-19 00:00:00-05:00,-143.26428571428988
2026-01-21 00:00:00-05:00,387.9428571428623
2026-01-22 00:00:00-05:00,-165.5571428571522
2026-01-23 00:00:00-05:00,-185.58571428571014
2026-01-26 00:00:00-05:00,-74.7892857142826
2026-01-27 00:00:00-05:00,-384.27142857142024
2026-01-28 00:00:00-05:00,22.610714285702812
2026-01-30 00:00:00-05:00,-222.38214285714494
2026-02-03 00:00:00-05:00,248.66428571428986
2026-02-04 00:00:00-05:00,-268.5071428571449
2026-02-06 00:00:00-05:00,-101.41785714285507
2026-02-10 00:00:00-05:00,134.5642857142826
2026-02-11 00:00:00-05:00,-228.91785714285507
2026-02-17 00:00:00-05:00,-420.925
2026-02-18 00:00:00-05:00,36.82857142857972
2026-02-20 00:00:00-05:00,-139.39642857142752
2026-02-23 00:00:00-05:00,-186.76428571428988
