entry_time,exit_time,direction,pnl,r_multiple,confidence
2025-01-03 11:45:00-05:00,2025-01-03 13:45:00-05:00,1,513.0,0.9194431108977437,0.7171381711959839
2025-02-04 10:05:00-05:00,2025-02-04 12:25:00-05:00,1,-87.0,-0.13945899527694292,0.6782568097114563
2025-02-18 09:50:00-05:00,2025-02-18 13:40:00-05:00,-1,296.2142857142753,0.9769140164899539,0.6967419385910034
2025-03-04 11:55:00-05:00,2025-03-04 14:05:00-05:00,1,1035.2321428571377,0.9932836460207266,0.6686902642250061
2025-03-06 11:55:00-05:00,2025-03-06 14:30:00-05:00,-1,965.8571428571377,0.9928046989720944,0.6259416937828064
2025-03-13 11:40:00-04:00,2025-03-13 13:30:00-04:00,-1,734.1607142857247,0.9905553547765469,0.6953951120376587
2025-03-20 12:10:00-04:00,2025-03-20 14:35:00-04:00,-1,579.875,0.9880724174653888,0.6886182427406311
2025-04-16 12:20:00-04:00,2025-04-16 13:40:00-04:00,-1,618.178571428587,0.9888031990860003,0.8565953969955444
2025-04-24 12:55:00-04:00,2025-04-24 14:40:00-04:00,1,553.625,0.9875139353400223,0.6493990421295166
2025-04-28 11:20:00-04:00,2025-04-28 14:00:00-04:00,-1,220.5,0.31064150943396224,0.6044163107872009
2025-05-07 11:00:00-04:00,2025-05-07 13:00:00-04:00,-1,-534.946428571413,-1.0132589210214487,0.6408563256263733
2025-06-05 10:15:00-04:00,2025-06-05 11:10:00-04:00,-1,-655.75,-1.0107899807321772,0.6261112093925476
2025-06-10 11:40:00-04:00,2025-06-10 12:15:00-04:00,-1,-434.23214285713766,-1.0163845350052125,0.7119331359863281
