date,pnl
2024-07-11 00:00:00-04:00,70.5
2024-07-19 00:00:00-04:00,-29.5
2024-07-24 00:00:00-04:00,-24.5
2024-07-25 00:00:00-04:00,-449.5
2024-07-30 00:00:00-04:00,-137.0
2024-08-02 00:00:00-04:00,-790.75
2024-08-22 00:00:00-04:00,55.5
2024-08-26 00:00:00-04:00,270.76785714286234
2024-09-02 00:00:00-04:00,-90.30357142858702
2024-09-03 00:00:00-04:00,95.5
2024-09-09 00:00:00-04:00,-395.39285714286234
2024-09-24 00:00:00-04:00,125.5
2024-09-25 00:00:00-04:00,237.55357142858702
2024-09-26 00:00:00-04:00,-571.6428571428623
2024-10-03 00:00:00-04:00,-389.5
