entry_time,exit_time,direction,pnl,r_multiple,confidence
2025-07-02 09:45:00-04:00,2025-07-02 10:10:00-04:00,1,153.62857142856518,0.9821004566209646,0.44379425048828125
2025-07-07 10:50:00-04:00,2025-07-07 12:00:00-04:00,-1,-333.6714285714203,-1.017069453516195,0.704089879989624
2025-07-08 09:45:00-04:00,2025-07-08 10:20:00-04:00,1,-194.26428571428988,-1.014624137287841,0.35405343770980835
2025-07-09 10:40:00-04:00,2025-07-09 10:55:00-04:00,-1,180.5214285714348,0.984726280927367,0.5054181218147278
2025-07-10 09:30:00-04:00,2025-07-10 09:45:00-04:00,-1,169.6928571428478,0.9758471965495457,0.5416512489318848
2025-07-14 09:35:00-04:00,2025-07-14 09:40:00-04:00,-1,129.09285714285505,0.9787706471703064,0.630321741104126
2025-07-15 09:30:00-04:00,2025-07-15 09:40:00-04:00,-1,181.90714285715222,0.9774323546344776,0.6074877977371216
2025-07-15 09:45:00-04:00,2025-07-15 10:10:00-04:00,-1,-165.9785714285652,-1.01715911578022,0.5245521068572998
2025-07-16 09:30:00-04:00,2025-07-16 09:50:00-04:00,-1,140.23571428571012,0.9804244694132044,0.5286455154418945
2025-07-17 09:35:00-04:00,2025-07-17 09:40:00-04:00,-1,-168.6107142857174,-1.025545780384509,0.5206763744354248
2025-07-18 09:30:00-04:00,2025-07-18 09:35:00-04:00,-1,173.54285714286962,0.9687400318979963,0.6106430888175964
2025-07-18 10:00:00-04:00,2025-07-18 10:15:00-04:00,-1,132.73571428571012,0.9793412384716426,0.5900890231132507
2025-07-22 09:40:00-04:00,2025-07-22 09:45:00-04:00,-1,252.18571428571013,0.9782765308949687,0.6858387589454651
2025-07-22 11:00:00-04:00,2025-07-22 12:25:00-04:00,-1,176.87857142856518,0.9844166169747216,0.5009629130363464
2025-07-23 09:55:00-04:00,2025-07-23 11:00:00-04:00,-1,-165.55,-1.017204301075269,0.5300539135932922
2025-07-28 10:00:00-04:00,2025-07-28 10:20:00-04:00,-1,315.23214285713766,0.9782765308949687,0.7767149209976196
2025-07-29 09:40:00-04:00,2025-07-29 09:45:00-04:00,-1,156.09285714285505,0.9823780624859387,0.5600965619087219
2025-07-29 10:45:00-04:00,2025-07-29 11:05:00-04:00,-1,160.7,0.982874617737003,0.5625596642494202
2025-07-29 11:40:00-04:00,2025-07-29 11:45:00-04:00,-1,-157.7285714285652,-1.018072844628821,0.5883657336235046
2025-07-30 09:40:00-04:00,2025-07-30 09:50:00-04:00,-1,155.2285714285652,0.9736559139784555,0.5410168170928955
2025-07-31 10:40:00-04:00,2025-07-31 10:50:00-04:00,-1,113.18928571428259,0.9877824528595645,0.5859726667404175
2025-07-31 10:55:00-04:00,2025-07-31 11:15:00-04:00,-1,222.5214285714348,0.9875733079727649,0.6611238121986389
2025-08-01 09:35:00-04:00,2025-08-01 09:45:00-04:00,1,-192.54285714285507,-1.007324364723457,0.43943366408348083
2025-08-01 10:20:00-04:00,2025-08-01 13:25:00-04:00,1,-235.1857142857174,-1.0059883898564141,0.41228386759757996
2025-08-04 09:30:00-04:00,2025-08-04 09:45:00-04:00,1,164.8857142857174,0.9915807560137645,0.45711836218833923
2025-08-05 09:40:00-04:00,2025-08-05 09:45:00-04:00,-1,-136.19285714285508,-1.0209906291833848,0.5232270359992981
2025-08-06 09:30:00-04:00,2025-08-06 09:35:00-04:00,-1,171.73571428571012,0.9839574381010606,0.5869102478027344
2025-08-06 11:00:00-04:00,2025-08-06 11:30:00-04:00,1,124.49285714285506,0.9888794326240969,0.4163101613521576
2025-08-07 09:30:00-04:00,2025-08-07 09:45:00-04:00,-1,175.37857142856518,0.984285427941436,0.5862499475479126
2025-08-07 09:55:00-04:00,2025-08-07 10:10:00-04:00,1,-116.63214285714494,-1.0121493878816235,0.48276567459106445
2025-08-08 09:30:00-04:00,2025-08-08 09:40:00-04:00,1,121.0107142857174,0.9885630926331399,0.3459692597389221
2025-08-08 09:50:00-04:00,2025-08-08 10:25:00-04:00,1,120.58214285714493,0.9885229102620576,0.3901394009590149
2025-08-11 09:30:00-04:00,2025-08-11 09:35:00-04:00,-1,-190.1,-1.0303523035230353,0.6257272958755493
2025-08-12 09:35:00-04:00,2025-08-12 09:40:00-04:00,-1,163.48571428571012,0.9831615120274664,0.6493133306503296
2025-08-13 09:40:00-04:00,2025-08-13 09:55:00-04:00,-1,140.45,0.9804537521815008,0.60621577501297
2025-08-15 09:45:00-04:00,2025-08-15 10:00:00-04:00,-1,-254.91428571428258,-1.0167521367521242,0.6548811793327332
2025-08-15 10:50:00-04:00,2025-08-15 11:40:00-04:00,-1,325.5857142857174,0.9872644574399054,0.7286880612373352
2025-08-18 09:50:00-04:00,2025-08-18 10:20:00-04:00,-1,-241.41428571428258,-1.017705510388424,0.67618328332901
2025-08-18 10:25:00-04:00,2025-08-18 10:45:00-04:00,-1,322.8535714285652,0.9871580671580481,0.7103669047355652
2025-08-20 10:05:00-04:00,2025-08-20 10:45:00-04:00,1,-137.525,-1.0102846648301194,0.308420866727829
2025-08-21 09:30:00-04:00,2025-08-21 09:45:00-04:00,1,-105.32857142857247,-1.0134707903780167,0.34285563230514526
2025-08-21 10:55:00-04:00,2025-08-21 11:10:00-04:00,1,-139.9892857142826,-1.010101791006291,0.2985784411430359
2025-08-22 09:35:00-04:00,2025-08-22 09:40:00-04:00,-1,-179.26428571428988,-1.0158672333535956,0.5036241412162781
2025-08-25 09:35:00-04:00,2025-08-25 09:45:00-04:00,1,-159.55,-1.0178628389154705,0.48967990279197693
2025-08-25 09:55:00-04:00,2025-08-25 10:45:00-04:00,1,193.59285714285505,0.9857428623385965,0.4414156377315521
2025-08-26 09:30:00-04:00,2025-08-26 09:35:00-04:00,-1,156.3535714285652,0.9738405071738017,0.6099538207054138
2025-08-26 09:45:00-04:00,2025-08-26 09:50:00-04:00,-1,-240.7714285714348,-1.017753623188432,0.6512826085090637
2025-08-27 09:30:00-04:00,2025-08-27 09:40:00-04:00,1,-167.6,-1.0345679012345679,0.49278926849365234
2025-08-28 09:40:00-04:00,2025-08-28 09:45:00-04:00,-1,143.98571428571012,0.9809245742092174,0.6032772660255432
2025-08-29 09:45:00-04:00,2025-08-29 10:00:00-04:00,-1,169.48571428571012,0.983747927031485,0.6452065110206604
2025-09-02 09:35:00-04:00,2025-09-02 09:50:00-04:00,1,137.08214285714493,0.9898903932946636,0.3421665132045746
2025-09-03 10:40:00-04:00,2025-09-03 11:25:00-04:00,1,-129.32857142857247,-1.0109436069235145,0.4011801481246948
2025-09-05 09:30:00-04:00,2025-09-05 09:50:00-04:00,-1,-186.12142857143482,-1.0152737190727013,0.5030235052108765
2025-09-05 10:55:00-04:00,2025-09-05 11:25:00-04:00,-1,-173.9,-1.0081159420289856,0.63198322057724
2025-09-08 09:30:00-04:00,2025-09-08 09:55:00-04:00,-1,-185.69285714285508,-1.0153095098613438,0.618420422077179
